алё дальше;next_track
блин скипни это;next_track
давай следующий уже;next_track
че за дичь играет;next_track
некст давай;next_track
алё переключи;next_track
скип быстро;next_track
дальше брат;next_track
не не не дальше;next_track
это убери;next_track
следующий трек алё;next_track
блин давай другое;next_track
скипни нафиг;next_track
че за фигня;next_track
другой включи;next_track
э не это дальше;next_track
переключи уже;next_track
дальше музыку;next_track
не катит дальше;next_track
го следующий;next_track
скипни это быстро;next_track
ну блин следующий;next_track
алё давай другое;next_track
не заходит вообще;next_track
убери этот трек;next_track
дальше давай быстрее;next_track
следующий алё;next_track
неее скип;next_track
это кто включил;next_track
давай нормальный трек;next_track
че за ужас;next_track
следующий живо;next_track
братан скипни;next_track
ну ка дальше;next_track
не это слушать невозможно;next_track
выруби это и дальше;next_track
давай другой бит;next_track
алё алё следующий;next_track
скипни к черту;next_track
дальше пошло;next_track
следующий включай;next_track
че за старье;next_track
блин ну дальше;next_track
переключай быстрее;next_track
другое ставь;next_track
не качает вообще;next_track
скип скип;next_track
алё быстрее следующий;next_track
это мимо дальше;next_track
не этот трек;next_track
дальше нах;next_track
некст трек;next_track
следующий биток;next_track
блин переключи уже;next_track
скипни пожалуйста;next_track
давай че нибудь другое;next_track
это убери отсюда;next_track
не заходит трек;next_track
переключи музон;next_track
алё некст;next_track
неее другое;next_track
следующий давай алё;next_track
скипни этот ужас;next_track
дальше братан;next_track
это не включай;next_track
ну все дальше;next_track
следующий живее;next_track
другое давай быстро;next_track
че за шум;next_track
убери эту песню;next_track
не ну это скип;next_track
го дальше алё;next_track
переключай трек;next_track
не катит музло;next_track
это выключи дальше;next_track
следующий трек быстрее;next_track
скипни эту тему;next_track
не качает брат;next_track
алё другой трек;next_track
блин убери это;next_track
дальше дальше;next_track
следующий трек давай;next_track
это кто поставил;next_track
неее не то;next_track
переключи музло;next_track
скипани это;next_track
следующий включи алё;next_track
ну ка скипни;next_track
другое музло;next_track
это вообще не в тему;next_track
блин следующий трек;next_track
алё че играет;next_track
скипни уже это;next_track
не могу это слушать;next_track
давай другое что ли;next_track
следующий живо брат;next_track
переключи нафиг;next_track
не зашло дальше;next_track
че за трек вообще;next_track
следующий поехали;next_track
скипни алё;next_track
это вообще мрак;next_track
некст быстрее;next_track
переключи уже брат;next_track
не это не катит;next_track
другую песню;next_track
алё нормальное включи;next_track
скипни трек;next_track
дальше быстрее;next_track
это в помойку;next_track
ну другое давай;next_track
не качает вообще брат;next_track
следующий бит давай;next_track
переключи срочно;next_track
скипни эту фигню;next_track
не не не убери;next_track
дальше алё;next_track
че за попса;next_track
некст живо;next_track
убери этот бит;next_track
блин другое включи;next_track
следующий трек живо;next_track
неее брат скип;next_track
давай что то нормальное;next_track
алё давай следующий трек;next_track
это вообще выключай;next_track
скипни музыку;next_track
не нравится дальше;next_track
че за тоска;next_track
следующий биток давай;next_track
брат переключай;next_track
это не музыка;next_track
ну все скипни;next_track
алё другое музло;next_track
