включи следующий трек;next_track
давай следующий;next_track
следующую песню включи;next_track
скипни трек;next_track
пропусти это;next_track
дальше давай;next_track
переключи песню;next_track
го следующий трек;next_track
не зашло, дальше;next_track
давай другую песню;next_track
смени трек;next_track
переключи на другой;next_track
скипни это пожалуйста;next_track
пропускай;next_track
next давай;next_track
next track;next_track
го дальше;next_track
след трек включи;next_track
давай следущую;next_track
следующую пж;next_track
скипни пж;next_track
давай что нибудь другое;next_track
поменяй песню;next_track
другой трек включи;next_track
не нравится;next_track
дальше включи;next_track
смена трека;next_track
переключай;next_track
скипни быстрее;next_track
пропусти уже;next_track
дальше музыку;next_track
следующий бит;next_track
вруби другой;next_track
го другой трек;next_track
меняй;next_track
переключи музыку;next_track
след трек давай;next_track
скипай;next_track
пропуск;next_track
давай новый трек;next_track
дальше трек;next_track
следующий включай;next_track
скип трек;next_track
го следующую песню;next_track
поставь другой трек;next_track
переключи быстро;next_track
дальше плиз;next_track
смени быстрее;next_track
давай че нить другое;next_track
другую давай;next_track
врубай следующий;next_track
следующий биток;next_track
скипни нафиг;next_track
пропусти трек;next_track
переключи пжл;next_track
дальше че там;next_track
следующий уже;next_track
меняй трек;next_track
го next;next_track
давай next;next_track
некст трек;next_track
включи некст;next_track
next pls;next_track
дальше музон;next_track
смена песни;next_track
переключи трек плиз;next_track
давай быстрее следующий;next_track
скипни эту фигню;next_track
другую включи;next_track
поставь другую песню;next_track
переключи композицию;next_track
следующий трэк;next_track
дальше ставь;next_track
меняй песню уже;next_track
пропусти песню;next_track
скипни песню;next_track
дальше трек пж;next_track
давай смену;next_track
переключи щас;next_track
давай быстрее;next_track
следующую ща;next_track
го другой;next_track
вруби следующий трек;next_track
меняй уже;next_track
переключи сейчас;next_track
давай следующий бит;next_track
пропусти сейчас;next_track
скипни сейчас;next_track
следующий давай уже;next_track
другой уже включи;next_track
давай сменим;next_track
переключи немедленно;next_track
следующий моментально;next_track
врубай другой трек;next_track
переключи на след;next_track
давай уже следующий;next_track

включи предыдущий трек;prev_track
давай назад;prev_track
верни прошлую песню;prev_track
предыдущую включи;prev_track
го назад;prev_track
верни трек;prev_track
назад трек;prev_track
